english               tune                          english parts                     tune parts
--------------------------------------------------------------------------------------------------------------
abbreviation          letainunt                     short + form                      let + nunt
abdomen               -                             lower + body + region             ? + vat + roqk
abdominal             -                             abdomen + of                      ? + yov
abduce                -                             best + explain + infer            ? + yep + fliq
ability               fipainep                      able + nature                     fip + nep
ablation              -                             ablate + act                      ? + yez
abnormal              yadaimebz                     away + normal                     yad + mebz
abnormality           -                             abnormal + ness                   ? + ?
abortion              lorvaiyez                     abort + act                       lorv + yez
abrasive              -                             abrade + like                     ? + lak
absence               brufaidom                     absent + state                    bruf + dom
absorption            zubaiyez                      absorb + act                      zub + yez
abstraction           habzauyez                     abstract + act                    habz + yez
academic              vebzaiyov                     academy + of                      vebz + yov
acceleration          snaCauyez                     accelerate + act                  snaC + yez
accelerator           snaCainiv                     accelerate + thing                snaC + niv
acceptance            kedjaiyez                     accept + act                      kedj + yez
acceptor              kedjaiyug                     accept + agent                    kedj + yug
accessory             dispainiv                     access + thing                    disp + niv
accidental            weqaulak                      accident + like                   weq + lak
accommodation         txidaiyez                     accommodate + act                 txid + yez
accordance            kluvauyez                     accord + act                      kluv + yez
accountable           vadaifip                      answer + able                     vad + fip
accumulation          fruvaiyez                     accumulate + act                  fruv + yez
accuracy              jempaunep                     accurate + nature                 jemp + nep
acetate               -                             acetic + salt                     ? + tigz
achievement           judzauyez                     achieve + act                     judz + yez
acidity               -                             acid + ness                       falf + ?
acknowledge           numainib                      know + say                        num + nib
acquaintance          mitainar                      meet + person                     mit + nar
acquisition           bridaiyez                     acquire + act                     brid + yez
action                yezauyez                      act + act                         yez + yez
activate              -                             active + make                     ? + mek
activation            -                             activate + act                    ? + yez
activator             -                             activate + agent                  ? + yug
active                yezaulak                      act + like                        yez + lak
activist              -                             active + agent                    ? + yug
activity              -                             active + nature                   ? + nep
actor                 yezauyug                      act + agent                       yez + yug
ad                    -                             advertisement                     ?
adaptation            brezauyez                     adapt + act                       brez + yez
adaptive              brezailak                     adapt + like                      brez + lak
addiction             yolbaiyez                     addict + act                      yolb + yez
addition              laxauyez                      add + act                         lax + yez
additive              laxailak                      add + like                        lax + lak
adhesion              frufaiyez                     adhere + act                      fruf + yez
adipose               wesaiyov                      fat + of                          wes + yov
adjective             nepaitod                      nature + term                     nep + tod
adjoin                fidaigoz                      next + join                       fid + goz
adjustment            yarpaiyez                     adjust + act                      yarp + yez
administration        klomauyez                     administer + act                  klom + yez
administrative        klomailak                     administer + like                 klom + lak
admiration            siskauyez                     admire + act                      sisk + yez
admission             modzaiyez                     admit + act                       modz + yez
adrenal               pandaifund                    upon + kidney                     pand + fund
adrenergic            -                             adrenaline + of                   ? + yov
adsorb                sorfaifruf                    surface + adhere                  sorf + fruf
advection             suntaimaft                    flow + carry                      sunt + maft
adverb                kuqaitod                      manner + term                     kuq + tod
advertise             mogzaimek                     notice + make                     mogz + mek
advertisement         -                             advertise + act                   ? + yez
advice                vadjaiyez                     advise + act                      vadj + yez
aerial                lesaiyov                      air + of                          les + yov
aerobic               lesaicadaiyov                 air + life + of                   les + cad + yov
affiliate             hipaigoz                      group + join                      hip + goz
affinity              -                             affine + ness                     ? + ?
afraid                froCaivup                     fear + full                       froC + vup
afterlife             retaicad                      after + life                      ret + cad
afternoon             retaikibz                     after + noon                      ret + kibz
agency                -                             agent + ness                      yug + ?
aggregation           kanaiyez                      aggregate + act                   kan + yez
agonist               yezaiyug                      act + agent                       yez + yug
agreement             kekauyez                      agree + act                       kek + yez
agricultural          -                             agriculture + of                  ? + yov
airport               xumaihups                     sky + port                        xum + hups
albatross             brataimalcaibax               big + sea + bird                  brat + malc + bax
alignment             mokaiyez                      align + act                       mok + yez
alkaline              -                             alkali + like                     ? + lak
allocation            -                             allocate + act                    ? + yez
allowed               -                             allow + done                      norg + ?
aloud                 bukaigift                     out + loud                        buk + gift
alphabet              witaikod                      letter + code                     wit + kod
alpine                motaikib                      mountain + live                   mot + kib
alternative           ledzaixolk                    alter + native                    ledz + xolk
altruistic            nezaisintaidepaimunt          other + benefit + self + cost     nez + sint + dep + munt
aluminum              litaimalt                     light + metal                     lit + malt
alveolar              -                             alveolus + of                     ? + yov
am                    -                             grammar                           ?
amber                 -                             tree + resin + rock               dip + ? + rak
amendment             -                             amend + act                       ? + yez
amethyst              sifaiblod                     purple + gem                      sif + blod
amino                 smavaihip                     ammonia + group                   smav + hip
ammonium              -                             ammonia + ion                     smav + ?
amorphous             nopaideps                     no + shape                        nop + deps
amplification         -                             amplify + act                     ? + yez
amplify               livaimek                      strong + make                     liv + mek
anaesthetic           -                             anesthesia + thing                ? + niv
anal                  spabaiyov                     anus + of                         spab + yov
analysis              djixaiyez                     analyze + act                     djix + yez
analytical            -                             analysis + of                     ? + yov
anatomical            -                             anatomy + of                      ? + yov
ancestor              toraiwest                     before + kin                      tor + west
anchovy               tigzaidjup                    salt + herring                    tigz + djup
anemia                CevaibloC                     without + blood                   Cev + bloC
anemone               malcaifloraizul               sea + flower + animal             malc + flor + zul
angry                 tidzaulak                     anger + like                      tidz + lak
angular               hompailak                     angle + like                      homp + lak
anion                 -                             negative + ion                    dum + ?
anniversary           yarailupaiCunt                year + loop + feast               yar + lup + Cunt
annoyance             blevauyez                     annoy + act                       blev + yez
annual                zanaiyaraikib                 one + year + live                 zan + yar + kib
annular               ropaiyov                      ring + of                         rop + yov
annulus               ropaismal                     ring + small                      rop + smal
antagonist            zofaiyug                      against + agent                   zof + yug
anteater              yolvaigabaizul                ant + eat + animal                yolv + gab + zul
antelope              fastaixars                    fast + deer                       fast + xars
anterior              torainis                      before + more                     tor + nis
antibiotic            -                             microbe + kill + medicine         ? + klub + gorz
antibodies            -                             antibody + many                   ? + mav
antigen               -                             antibody + generate               ? + ?
antonym               handaimog                     opposite + meaning                hand + mog
anvil                 kitxaigiks                    iron + block                      kitx + giks
anxiety               segzainep                     anxious + nature                  segz + nep
aperture              getx                          opening                           getx
aphid                 glomaigotxaipamp              sap + suck + bug                  glom + gotx + pamp
apical                -                             apex + of                         ? + yov
apologise             hipsaimek                     apology + make                    hips + mek
apologize             hipsaimek                     apology + make                    hips + mek
appearance            fleCauyez                     appear + act                      fleC + yez
application           vendauyez                     apply + act                       vend + yez
appointment           txatauyez                     appoint + act                     txat + yez
appreciation          lebauyez                      appreciate + act                  leb + yez
apprentice            linaiyug                      learn + agent                     lin + yug
approximately         snozaukuq                     approximate + manner              snoz + kuq
apricot               smalaicesp                    small + peach                     smal + cesp
aquatic               waCaikib                      water + live                      waC + kib
aqueduct              waCaiyeb                      water + road                      waC + yeb
aqueous               waCaiyov                      water + of                        waC + yov
arachnid              falpaihip                     spider + group                    falp + hip
arboreal              dipaikib                      tree + live                       dip + kib
archipelago           gendaihip                     island + group                    gend + hip
architectural         -                             architecture + of                 ? + yov
architecture          -                             architect + act                   ? + yez
are                   -                             grammar                           ?
argument              tintauyez                     argue + act                       tint + yez
arid                  penaidral                     very + dry                        pen + dral
arise                 gumaited                      come + up                         gum + ted
armadillo             txalaizul                     shell + animal                    txal + zul
armor                 mepsaivedz                    protect + covering                meps + vedz
armory                -                             armor + like                      ? + lak
army                  gibzaihip                     military + group                  gibz + hip
arousal               snuvaulak                     arouse + like                     snuv + lak
arrangement           hentauyez                     arrange + act                     hent + yez
array                 nordailist                    order + list                      nord + list
arrest                xufailidj                     law + seize                       xuf + lidj
arsenate              -                             arsenic + salt                    ? + tigz
arterial              yubzaiyov                     artery + of                       yubz + yov
article               leCaitod                      point + term                      leC + tod
articulation          -                             articulate + act                  ? + yez
artist                meqkauyug                     art + agent                       meqk + yug
artwork               meqkaiwark                    art + work                        meqk + wark
ascending             skiqauyez                     ascend + act                      skiq + yez
ashamed               -                             ashame + done                     ? + ?
aspiration            -                             aspirate + act                    ? + yez
assassin              bedjaiklubaiyug               hire + kill + agent               bedj + klub + yug
assembly              djeqaulak                     assemble + like                   djeq + lak
assess                nazaufim                      as + female                       naz + fim
assessment            -                             assess + act                      ? + yez
asset                 tikainiv                      own + thing                       tik + niv
assignment            druqaiyez                     assign + act                      druq + yez
assist                nazauyug                      as + agent                        naz + yug
assistance            -                             assist + act                      ? + yez
assistant             -                             assist + agent                    ? + yug
associated            -                             associate + done                  xesk + ?
association           xeskauyez                     associate + act                   xesk + yez
asteroid              rakaistar                     rock + star                       rak + star
astronomical          -                             astronomy + of                    ? + yov
asylum                stefainad                     safe + place                      stef + nad
asymmetric            -                             asymmetry + like                  ? + lak
asymmetry             -                             asymmetric + like                 ? + lak
asynchronous          masainobaikal                 not + same + time                 mas + nob + kal
athletic              lodjaulak                     athlete + like                    lodj + lak
atoll                 -                             ring + reef                       rop + ?
atomic                tomaulak                      atom + like                       tom + lak
atrophy               -                             without + nourish                 Cev + ?
attached              -                             attach + done                     totx + ?
attachment            totxaiyez                     attach + act                      totx + yez
attendance            setxauyez                     attend + act                      setx + yez
attention             setxauyez                     attend + act                      setx + yez
attentive             setxaulak                     attend + like                     setx + lak
attenuate             slokaimek                     weak + make                       slok + mek
attenuation           -                             attenuate + act                   ? + yez
attraction            yaqkauyez                     attract + act                     yaqk + yez
attractive            yaqkaulak                     attract + like                    yaqk + lak
attractor             yaqkaidom                     attract + state                   yaqk + dom
attrition             gruvaiyez                     rub + act                         gruv + yez
audacious             penaijarb                     very + bold                       pen + jarb
audible               pubaifip                      hear + able                       pub + fip
auditory              pubaiyov                      hear + of                         pub + yov
augury                saqkairid                     sign + read                       saqk + rid
aunt                  sasaitat                      parent + sibling                  sas + tat
aurora                viksailit                     pole + light                      viks + lit
authenticate          nufaipruv                     true + prove                      nuf + pruv
authorize             pepsaigif                     authority + give                  peps + gif
automated             -                             self + move + done                dep + muv + ?
autonomous            -                             autonomy + like                   ? + lak
autonomy              -                             autonomous + like                 ? + lak
autosomal             -                             autosome + of                     ? + yov
avalanche             snomaislad                    snow + slide                      snom + slad
avatar                skegaivat                     proxy + body                      skeg + vat
avenge                teft                          revenge                           teft
avian                 baxaiyov                      bird + of                         bax + yov
aviation              lefaiyez                      fly + act                         lef + yez
avoidable             vordaifip                     avoid + able                      vord + fip
awareness             dubaunep                      aware + nature                    dub + nep
axial                 vovaiyov                      axis + of                         vov + yov
backup                degzaixok                     spare + copy                      degz + xok
backward              -                             back + oriented                   gok + ?
bacon                 pragaimak                     pig + meat                        prag + mak
bacterial             brakaiyov                     bacteria + of                     brak + yov
badger                heftauyug                     badge + agent                     heft + yug
badminton             jorvaicindaibralaipudj        racket + feather + ball + sport   jorv + cind + bral + pudj
balanced              -                             balance + done                    halv + ?
bamboo                vabzaigras                    hollow + grass                    vabz + gras
bandit                borgaiyug                     rob + agent                       borg + yug
banish                djexaulak                     ban + like                        djex + lak
banner                djexauyug                     ban + agent                       djex + yug
baobab                wesaidip                      fat + tree                        wes + dip
baptism               mestaiblam                    holy + bathe                      mest + blam
barbecue              forainalf                     fire + cook                       for + nalf
barn                  -                             farm + building                   desp + ?
barnacle              rebaitxal                     stick + shell                     reb + txal
barracks              -                             soldier + house                   ? + puz
barrel                mapsaivriCaiweps              round + wood + container          maps + vriC + weps
barter                nivaitred                     thing + trade                     niv + tred
basalt                ramairak                      dark + rock                       ram + rak
baseball              batxaibralaipudj              bat + ball + sport                batx + bral + pudj
baseline              besaizob                      base + line                       bes + zob
basement              besauyez                      base + act                        bes + yez
basic                 besaulak                      base + like                       bes + lak
basket                worvaizarkaiweps              weave + open + container          worv + zark + weps
basketball            -                             basket + ball + sport             ? + bral + pudj
bath                  blamainad                     bathe + place                     blam + nad
bearer                nuqkaizan                     bear + one                        nuqk + zan
bearing               nuqkauyez                     bear + act                        nuqk + yez
beautiful             batauvup                      beauty + full                     bat + vup
beautify              bataumek                      beauty + make                     bat + mek
beaver                vriCaizepainarvaidimp         wood + cut + river + rat          vriC + zep + narv + dimp
beef                  vaqkaimak                     cow + meat                        vaqk + mak
been                  -                             grammar                           ?
beetle                txalaipamp                    shell + bug                       txal + pamp
beggar                nispaiyug                     beg + agent                       nisp + yug
beginner              morkauyug                     begin + agent                     mork + yug
beginning             morkauyez                     begin + act                       mork + yez
behavior              kolvauyug                     behave + agent                    kolv + yug
being                 -                             grammar                           ?
belief                pofaiyez                      believe + act                     pof + yez
belittle              gefaiportaimek                less + important + make           gef + port + mek
belly                 gentaulak                     bell + like                       gent + lak
beneficial            sintailak                     benefit + like                    sint + lak
benevolent            nezaitafaiwant                other + good + want               nez + taf + want
benzoate              -                             benzoic + salt                    ? + tigz
besides               sadjaumav                     beside + many                     sadj + mav
best                  -                             grammar                           ?
best case             -                             best + possible + outcome         ? + yen + wutx
better                -                             grammar                           ?
beverage              dugainiv                      drink + thing                     dug + niv
bible                 mestaivam                     holy + book                       mest + vam
bicycle               -                             bike                              ?
bifurcate             -                             behavior + branch + threshold     ? + lum + droq
bike                  -                             bicycle                           ?
bilateral             dobaisardaimatx               two + side + symmetry             dob + sard + matx
billion               xazauyez                      bill + act                        xaz + yez
binary                dobaiwux                      two + system                      dob + wux
binder                binainiv                      bind + thing                      bin + niv
biodiversity          -                             life + diversity                  cad + ?
biological            cadainedzailak                life + study + like               cad + nedz + lak
biology               cadainedz                     life + study                      cad + nedz
biome                 cadairoqk                     life + region                     cad + roqk
birch                 wipaiyogzaidip                white + bark + tree               wip + yogz + dip
birthday              dolbaiyam                     birth + day                       dolb + yam
bishop                -                             church + chief                    ? + wob
bison                 waldaivaqk                    wild + cow                        wald + vaqk
blackberry            vogaiglaf                     black + berry                     vog + glaf
blanket               vifaivedz                     bed + covering                    vif + vedz
bleat                 zigzaikar                     sheep + call                      zigz + kar
blend in              nobaifopaijef                 same + seem + become              nob + fop + jef
blessing              godjauyez                     bless + act                       godj + yez
blindness             -                             blind + ness                      nald + ?
blizzard              snomaideqk                    snow + storm                      snom + deqk
blockade              giksaiyez                     block + act                       giks + yez
blocker               giksaiyug                     block + agent                     giks + yug
blossom               dipaiflor                     tree + flower                     dip + flor
blotch                gabzaimals                    rough + spot                      gabz + mals
blueberry             bulaiglaf                     blue + berry                      bul + glaf
blurred               -                             blur + done                       blor + ?
boar                  waldaiprag                    wild + pig                        wald + prag
boastful              spunailak                     boast + like                      spun + lak
bodily                vatailak                      body + like                       vat + lak
bony                  brodailak                     bone + like                       brod + lak
boor                  buksaisnicaiyug               rude + coarse + agent             buks + snic + yug
boot                  talsaidebz                    tall + shoe                       tals + debz
border                tudjaitin                     bound + between                   tudj + tin
bored                 -                             bore + done                       jesp + ?
boredom               jespaudom                     bore + state                      jesp + dom
boring                jespauyez                     bore + act                        jesp + yez
bother                korauyug                      both + agent                      kor + yug
bottle                Ceftaimondaiweps              narrow + neck + container         Ceft + mond + weps
bottleneck            suntaizarfaismif              flow + limit + component          sunt + zarf + smif
boulder               bratairakaifuf                big + rock + piece                brat + rak + fuf
boundary              tudjaizob                     bound + line                      tudj + zob
bounded               tudjaihaz                     bound + have                      tudj + haz
bounty                -                             gift + pay                        ? + peq
bovine                vaqkaiyov                     cow + of                          vaqk + yov
branching             lumauyez                      branch + act                      lum + yez
brass                 buxairov                      yellow + copper                   bux + rov
bray                  smalaihorsaikar               small + horse + call              smal + hors + kar
brazen                -                             bold + shameless                  jarb + ?
breadth               horbaiyaj                     broad + measure                   horb + yaj
breaker               geqainiv                      break + thing                     geq + niv
breakfast             tanaidarg                     morning + meal                    tan + darg
bridle                horsaihadairegz               horse + head + strap              hors + had + regz
brightness            dinaunep                      bright + nature                   din + nep
bristle               fatxaifif                     stiff + hair                      fatx + fif
broadcast             horbaikast                    broad + cast                      horb + kast
broker                djataimadaiyug                deal + middle + agent             djat + mad + yug
