term,kind,parts,roots,breakers
hydrogen,atom,water atom,waC tom,
helium,atom,sun atom,san tom,
lithium,atom,stone atom,ston tom,
beryllium,atom,precious atom,prex tom,
boron,atom,bone atom,brod tom,
carbon,atom,life atom,cad tom,
nitrogen,atom,plant atom,dorf tom,
oxygen,atom,breath atom,nogz tom,
fluorine,atom,tooth atom,cutx tom,
neon,atom,tube atom,tub tom,
sodium,atom,salt atom,tigz tom,
magnesium,atom,ancient atom,xant tom,l
aluminum,atom,shine atom,palb tom,
silicon,atom,sand atom,sand tom,
phosphorous,atom,light atom,lit tom,l
chlorine,atom,green atom,pes tom,
argon,atom,slow atom,slom tom,
potassium,atom,ash atom,prax tom,
calcium,atom,nerve atom,nurv tom,
scandium,atom,soft atom,saft tom,l
vanadium,atom,beauty atom,bat tom,l
chromium,atom,color atom,klor tom,
manganese,atom,magnificent atom,zand tom,
iron,atom,metal atom,malt tom,l
cobalt,atom,ring atom,rop tom,
nickel,atom,white atom,wip tom,
copper,atom,message atom,muj tom,
zincbrittle,atom,atom atom,tom tom,
gallium,atom,bird atom,bax tom,
germanium,atom,cave atom,kliv tom,
arsenic,atom,poison atom,borz tom,
selenium,atom,moon atom,lun tom,
bromine,atom,ocean atom,vrun tom,
krypton,atom,hidden atom,pedj tom,
rubidium,atom,red atom,gic tom,
strontium,atom,burst atom,bust tom,l
yttrium,atom,bulb atom,wusk tom,
zirconium,atom,opaque atom,prik tom,
molybdenum,atom,dark atom,ram tom,
ruthenium,atom,still atom,pon tom,
rhodium,atom,flower atom,flor tom,
palladium,atom,wise atom,dald tom,
silver,atom,mirror atom,flek tom,
cadmium,atom,source atom,mab tom,
indium,atom,ghost atom,gost tom,l
antimony,atom,paint atom,pent tom,l
tellurium,atom,earth atom,riq tom,
xenon,atom,alien atom,kebz tom,
caesium,atom,sky atom,xum tom,
barium,atom,heavy atom,nant tom,l
lanthanum,atom,air atom,les tom,
cerium,atom,food atom,fiz tom,
praseodymium,atom,wind atom,moqk tom,
neodymium,atom,magnet atom,namp tom,
promethium,atom,fire atom,for tom,
samarium,atom,power atom,fep tom,
europium,atom,screen atom,boft tom,l
terbium,atom,glow atom,flok tom,
erbium,atom,glass atom,malz tom,
thulium,atom,beyond atom,nump tom,
ytterbium,atom,memory atom,guj tom,
lutetium,atom,swamp atom,xest tom,l
hafnium,atom,tool atom,tul tom,
tantalum,atom,electric atom,kesp tom,
tungsten,atom,wolf atom,wolf tom,
rhenium,atom,river atom,narv tom,
osmium,atom,wing atom,wiq tom,
mercury,atom,liquid atom,krid tom,
thallium,atom,stick atom,reb tom,
lead,atom,death atom,dac tom,
bismuth,atom,shadow atom,pets tom,
astatine,atom,quick atom,klok tom,
radon,atom,trace atom,tres tom,
francium,atom,loose atom,txot tom,l
radium,atom,beam atom,blim tom,
actinium,atom,sparkle atom,klab tom,
thorium,atom,thunder atom,zegz tom,
uranium,atom,break atom,ged tom,
neptunium,atom,wash atom,sax tom,
plutonium,atom,far atom,zad tom,
americium,atom,smoke atom,smok tom,
curium,atom,cheer atom,tond tom,
berkelium,atom,bright atom,din tom,
einsteinium,atom,smart atom,rez tom,
fermium,atom,rare atom,rar tom,
nobelium,atom,prize atom,praz tom,
lawrencium,atom,open atom,zark tom,
rutherfordium,atom,structure atom,tok tom,
dubnium,atom,race atom,malk tom,
seaborgium,atom,force atom,ros tom,
bohrium,atom,deep atom,gov tom,
hassium,atom,fresh atom,frax tom,
darmstadtium,atom,birth atom,dolb tom,
copernicium,atom,center atom,nav tom,
nihonium,atom,danger atom,nolf tom,
flerovium,atom,cloud atom,klad tom,
moscovium,atom,heart atom,zif tom,
livermorium,atom,host atom,harf tom,
tennessine,atom,grand atom,malb tom,
aspirin,drug,pain fever drug,muz tusk som,
ibuprofen,drug,pain swell drug,muz parb som,
acetaminophen,drug,pain fever drug,muz tusk som,
paracetamol,drug,pain fever drug,muz tusk som,
naproxen,drug,long pain drug,nuc muz som,l
morphine,drug,strong pain drug,liv muz som,l
fentanyl,drug,extreme pain drug,datx muz som,l
oxycodone,drug,strong pain drug,liv muz som,l
heroin,drug,strong pleasure drug,liv zim som,
penicillin,drug,bacteria kill drug,brak klub som,l
amoxicillin,drug,bacteria kill drug,brak klub som,l
tetracycline,drug,bacteria block drug,brak giks som,l
ciprofloxacin,drug,bacteria kill drug,brak klub som,l
azithromycin,drug,bacteria block drug,brak giks som,l
insulin,drug,sugar hormone,gand snen,
epinephrine,drug,alert heart hormone,palv zif snen,
adrenaline,drug,alert heart hormone,palv zif snen,
dopamine,drug,reward drive signal,kips feq tet,
serotonin,drug,mood signal,mud tet,
melatonin,drug,sleep hormone,slip snen,
cortisol,drug,stress hormone,hisp snen,
testosterone,drug,male hormone,maf snen,
estrogen,drug,female sex hormone,fim fed snen,
oxytocin,drug,bond birth hormone,nuq dolb snen,
caffeine,drug,wake drug,gat som,
nicotine,drug,alert addict drug,palv yolb som,
ethanol,drug,two carbon alcohol,dob rint xogz,
menthol,drug,cool smell compound,zug hij vodj,
lidocaine,drug,numb pain drug,rusp muz som,l
novocaine,drug,numb pain drug,rusp muz som,l
ketamine,drug,detach anesthetic drug,bog snet som,
propofol,drug,sleep anesthetic drug,slip snet som,
diazepam,drug,calm sleep drug,kam slip som,
fluoxetine,drug,mood lift drug,mud gorv som,
sertraline,drug,mood lift drug,mud gorv som,
amphetamine,drug,energy alert drug,bup palv som,l
methamphetamine,drug,strong energy drug,liv bup som,
methylphenidate,drug,attention drug,hif som,
diphenhydramine,drug,allergy sleep drug,kleb slip som,
loratadine,drug,allergy block drug,kleb giks som,l
pseudoephedrine,drug,nose open drug,noz zark som,l
omeprazole,drug,stomach acid block,stok falf giks,
warfarin,drug,blood clot block,bloC truz giks,
heparin,drug,blood clot block,bloC truz giks,
prednisone,drug,swell immune drug,parb weqk som,
hydrocortisone,drug,skin swell hormone,skin parb snen,
albuterol,drug,lung open drug,xols zark som,l
naloxone,drug,pain drug block,muz som giks,l
nitroglycerin,drug,heart vessel open,zif ves zark,l
sildenafil,drug,sex blood drug,fed bloC som,
lithium,drug,rock atom,rak tom,
chloroform,drug,sleep vapor,slip smaq,
ether,drug,sleep vapor,slip smaq,
rose,flower,thorn smell flower,rarg hij flor,
tulip,flower,cup flower,nips flor,
daisy,flower,chick flower,bips flor,
sunflower,flower,sun face flower,san fes flor,
lily,flower,hundred join flower,wef goz flor,
lotus,flower,water flower,waC flor,
water lily,flower,float water flower,flot waC flor,
