term,score,round,why
place,0,0,pinned
part,0,0,pinned
thing,0,0,pinned
state,0,0,pinned
make,0,0,pinned
time,0,0,pinned
way,0,0,pinned
sound,0,0,pinned
out,0,0,pinned
up,0,0,pinned
area,0,0,holds a short form
move,0,0,pinned
group,0,0,pinned
form,0,0,holds a short form
tool,0,0,pinned
work,0,0,pinned
back,0,0,pinned
shape,0,0,holds a short form
write,0,0,pinned
change,0,0,pinned
talk,0,0,pinned
line,0,0,pinned
measure,0,0,holds a short form
down,0,0,pinned
away,0,0,holds a short form
type,0,0,pinned
point,0,0,pinned
rule,0,0,pinned
relation,0,0,pinned
space,0,0,pinned
hold,0,0,pinned
in,0,0,pinned
light,0,0,an element rides on it
look,0,0,holds a short form
path,0,0,pinned
amount,0,0,pinned
food,0,0,an element rides on it
quality,0,0,holds a short form
idea,0,0,holds a short form
power,0,0,pinned
flow,0,0,pinned
color,0,0,pinned
life,0,0,pinned
body,0,0,pinned
side,0,0,holds a short form
use,0,0,pinned
again,0,0,holds a short form
event,0,0,pinned
water,0,0,pinned
force,0,0,pinned
lead,0,0,pinned
plan,0,0,pinned
order,0,0,pinned
sign,0,0,holds a short form
liquid,0,0,pinned
name,0,0,pinned
love,0,0,holds a short form
clear,0,0,holds a short form
open,0,0,pinned
off,0,0,pinned
stick,0,0,an element rides on it
object,0,0,holds a short form
break,0,0,an element rides on it
plant,0,0,an element rides on it
care,0,0,holds a short form
around,0,0,holds a short form
end,0,0,pinned
apart,0,0,holds a short form
process,0,0,pinned
number,0,0,pinned
right,0,0,pinned
size,0,0,pinned
contain,0,0,pinned
one,0,0,pinned
set,0,0,holds a short form
control,0,0,holds a short form
know,0,0,pinned
like,0,0,pinned
be,0,0,holds a short form
mean,0,0,holds a short form
condition,0,0,holds a short form
give,0,0,pinned
good,0,0,pinned
top,0,0,holds a short form
level,0,0,holds a short form
close,0,0,pinned
spirit,0,0,pinned
surface,0,0,pinned
heart,0,0,an element rides on it
pain,0,0,pinned
take,0,0,pinned
air,0,0,an element rides on it
fire,0,0,an element rides on it
see,0,0,pinned
hit,0,0,pinned
over,0,0,holds a short form
mind,0,0,pinned
count,0,0,holds a short form
home,0,0,pinned
safe,0,0,pinned
stop,0,0,pinned
on,0,0,pinned
step,0,0,pinned
child,0,0,pinned
value,0,0,holds a short form
stone,0,0,an element rides on it
edge,0,0,pinned
voice,0,0,pinned
need,0,0,pinned
much,0,0,holds a short form
vehicle,0,0,pinned
message,0,0,an element rides on it
knowledge,0,0,holds a short form
image,0,0,pinned
reason,0,0,holds a short form
turn,0,0,pinned
face,0,0,pinned
full,0,0,holds a short form
nature,0,0,pinned
walk,0,0,pinned
cell,0,0,pinned
bone,0,0,an element rides on it
note,0,0,pinned
system,0,0,holds a short form
bad,0,0,pinned
start,0,0,pinned
sense,0,0,pinned
through,0,0,holds a short form
mix,0,0,pinned
create,0,0,pinned
from,0,0,holds a short form
shine,0,0,an element rides on it
seed,0,0,pinned
link,0,0,pinned
metal,0,0,an element rides on it
position,0,0,pinned
agent,0,0,pinned
wrong,0,0,pinned
clean,0,0,pinned
cause,0,0,pinned
for,0,0,holds a short form
bird,0,0,an element rides on it
wind,0,0,an element rides on it
day,0,0,pinned
machine,0,0,pinned
real,0,0,pinned
structure,0,0,an element rides on it
new,0,0,holds a short form
to,0,0,holds a short form
fear,0,0,holds a short form
gain,0,0,pinned
ball,0,0,pinned
trait,0,0,holds a short form
small,0,0,holds a short form
quick,0,0,an element rides on it
fill,0,0,pinned
flower,0,0,an element rides on it
tube,0,0,an element rides on it
test,0,0,pinned
limit,0,0,pinned
code,0,0,pinned
age,0,0,holds a short form
focus,0,0,holds a short form
member,0,0,holds a short form
high,0,0,holds a short form
join,0,0,holds a short form
with,0,0,pinned
breath,0,0,pinned
call,0,0,pinned
rock,0,0,pinned
pass,0,0,holds a short form
run,0,0,pinned
match,0,0,pinned
motion,0,0,holds a short form
great,0,0,pinned
inside,0,0,pinned
law,0,0,holds a short form
birth,0,0,an element rides on it
result,0,0,pinned
period,0,0,holds a short form
tone,0,0,pinned
effect,0,0,pinned
feel,0,0,holds a short form
death,0,0,an element rides on it
store,0,0,pinned
more,0,0,pinned
leaf,0,0,pinned
read,0,0,pinned
want,0,0,holds a short form
example,0,0,holds a short form
field,0,0,pinned
source,0,0,pinned
individual,0,0,pinned
moment,0,0,holds a short form
self,0,0,pinned
send,0,0,pinned
bright,0,0,pinned
wave,0,0,pinned
true,0,0,pinned
poison,0,0,an element rides on it
understand,0,0,pinned
drug,0,0,pinned
energy,0,0,pinned
enough,0,0,holds a short form
notice,0,0,holds a short form
hope,0,0,holds a short form
bond,0,0,holds a short form
same,0,0,pinned
deep,0,0,an element rides on it
pull,0,0,holds a short form
female,0,0,pinned
fall,0,0,pinned
find,0,0,pinned
allow,0,0,holds a short form
center,0,0,pinned
judge,0,0,holds a short form
ring,0,0,an element rides on it
mouth,0,0,pinned
now,0,0,pinned
shift,0,0,holds a short form
world,0,0,holds a short form
direction,0,0,pinned
rank,0,0,holds a short form
problem,0,0,pinned
big,0,0,holds a short form
young,0,0,holds a short form
push,0,0,holds a short form
rise,0,0,pinned
less,0,0,pinned
tree,0,0,pinned
whole,0,0,pinned
salt,0,0,an element rides on it
speed,0,0,holds a short form
glow,0,0,an element rides on it
human,0,0,pinned
wing,0,0,an element rides on it
year,0,0,pinned
goal,0,0,pinned
at,0,0,holds a short form
seek,0,0,pinned
bit,0,0,pinned
soft,0,0,an element rides on it
bring,0,0,pinned
earth,0,0,an element rides on it
follow,0,0,holds a short form
